Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00text,Answer.01text,Answer.02text,Answer.03text,Answer.04text,Answer.05text,Answer.06text,Answer.07text,Answer.08text,Answer.09text
Transcribe audio to text (BONUS available) -b,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,1183,is there any person in the world who looks exactly like me,its approach was to take a page text divided into quarters and then read the page across the divisions,this can only deleted by giving the correct password for it,their king asked his item to don't look trough out to night,one should exercise extreme potion wind traveling to unexplored areas,anything that can be litters may be gold,he study again ... history,next science number I would suggest in space,why they conversation are supposed to logics and,you can take a sit and do what you normally do
Transcribe audio to text (BONUS available) -b,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,50,,,,,,,,,,
Transcribe audio to text (BONUS available) -b,Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,619,is there any person in the world who looks exactly like me,his approach was to take a page of text divide it into quadrants and then read the page across the divisions,this can only be deleted by having the correct password for it,the king asked his army to look out throughout the night,one should exercise extreme caution when travelling to unexplored areas,anything that glitters may be gold,history suggests that every thing happens again including history,science and number and space,my favorite topics of conversation are sports politics and movies,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,324,Is there any person in the world who looks exactly like me,His approach was to take a page of text divide it into quadrants and then read the page across the divisions,These can only vary while he decode the password for it,The king asked his army to look out throughout the night,One should exercise extreme caution when travelling to unexplored areas,Anything that glitters may be gold,History suggests that every single leader have to again include history,With my keys and metric find this number and space,Life in a topics of conversation art sports politics and movies,You can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,300,is there any person in the world who looks exactly like me,his approach was to take a page of text divide it into quadrants and then read the page across the divisions,this can only [xx],the king asked [xx],one should exercise extreme caution when traveling to unexplored areas,german,japaneese,something about a number,my favorite of conversation are sports politics and movies,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,597,Is there any person in the world who looks exactly like me?,"His approach was to take a page of text, divide it into quadrants, and then read the page across the divisions.",This can only valided by giving the correct password for it,The king asked his are and it to lo out throughout the night,One should exercise extreme caution when traveling to unexplored areas.,Anything that glitters may be gold!,History suggests that everything will happen again including history.,With mighty piece Annette strick signs this number kavunteja and space,"My favorite topics of conversation are sports, politics, and movies.",You can take a seat and do what you normally do.
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,704,Is there any person in the world who looks exactly like me?,"It's appropriate to take a page of text, divide it into quadrants and then read the page across the divisions",This can only be verified if read the correct password for it,The king asked his to look out through the lanae,One should exercise extreme caution when travelling through unexplored areas,He began to think that little girls may be gold,History suggests that to every singular you have including history,with the stick find this number and once again and space,"Like the topics of conversation are sports, politics and movies",You can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,763,Is there any person in the world who looks exactly like me,His approach was to take a page of text divide into quadrants and read the page across the divisions,This can only decorate for it,The king asked his and look out through,one should exercise extreme caution when traveling to unexplored areas,measured in liters maybe in gallon,His study suggests that he english history,we can suggest number and space,conversation are politics,You can take your seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,335,is there any person in the world who looks exactly like me,his approach was to take a page of text and divide it into quadrants and then read the page across the divisions,*non-English*,the king asked (the rest is gibberish),one should exercise extreme caution when traveling to unexplored areas,*non-English*,*non-English*,*ineligible*,*ineligible*,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,589,Is there any person in the world who looks exactly like me,His approach was to take a page of text divide it into quadrants and then read the page across the divisions,these can only be rated by having the correct password for it,the king asked his army to look out throughout the night,one should exercise extreme caution when traveling to unexplored areas,anything that glitters may be gold,history suggests that everything will happen again including history,with a mighty streak finesse is five its number in space,my favorite topics of conversation are sports politics and movies,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,460,is there any person in the world who looks exactly like me?,"his approach was to take a page of text, divide it into quadrants and then read the page across the divisions",this can only be heated by leaving the correct password for it,the king asked his owl to look thourghout with your knife,one should excercise extreme caution when traveling to unexplored areas,he didnt think the little girls may be golden,history suggests hat too including history,with a mighty peace erec could find his number in space,my favorite topics of conversation are sports politics and movies,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,257,Is there any person who looks exactly like me,,,,,,,,,
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,336,Is there any person in the world looks exactly like me,His approach was to take a page of text divide it into quadrants and then read the page across the divisions,This can only be verified by giving the correct password for it,The King asked his army to look out throughout the night,One should exercise extreme caution when traveling to unexplored areas,He began to think that little girls may be good,History suggests that to including history,We can wait until next time number in space,"My favorite topics of conversation are sports, politics, and movies",You can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,388,is there any person in the world who looks exactly like me,his approach was to take a page of text divide it into quadrants and then read the page across the divisions,this can only be repeated by achieving the correct password for it,the king asked him army to look out throughout the night,one should exercise extreme caution when traveling to unexplored areas,anything that glitters may be gold,history suggests that everything will happen again including history,which might decrease an abstract scientist number of integer and space,my favorite topics of conversation are sports politics and movies,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,1024,There are no two people exactly alike.,Read the writing on the wall,.Get ahead of oneself,stand guard,look before you leap,All that glitter is not gold,History repeats itself,e=mc2,Sarah Palin,sit down and go to work
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,614,is there any person in the world who looks exactly like me,his approach was to take a page of text divide it into quadrants and then read the page across the divisions,this can only be... by having the correct password for it,the king asked his heir and he told him out true how to be a knight,one should exercise extreme caution when traveling to unexplored areas,he need to think that you can litters may be gold,history suggests that to be single you have to... including history,we can make a... sciences number... and space,my favorite topics of conversation are sports politics and movies,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,238,Is there any person in the world who looks exactly like me,His approach was to take a page of text divide it into quadrants and then read the page across the divisions,this can only way we'd advise giving the correct password for it,The king asked his army to look out throughout the night,One should exercise extreme caution when travelling to unexplored areas,Anything that glitters may be gold,History suggests that everything will happen again including history,We can work in metric find his number quantity and space,My favorite topics of conversation are sports politics and the news,You can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,283,is there any person in the world who looks exactly like me,this approach was to take a page of text divide it into quadrants and then read the page across the divisions,this can only be edited by heaving the correct password for eight,the king asked his and and he too looked out throughout the night,one should exercise extreme caution when traveling to unexplored areas,even to think that the litters may be gold,history such as history,five is his number in space,likely topics of conversations are sports politics and movies,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,780,Is there any person in the world who looks exactly like me.,His approach was to take a page in text but why did in quadrics and read the page across the divisions.,This can only  live in,Looking us his eyes he do look out through denied,one should excersie extreme caution when travelling to an explode areas.,He thinks he can litters me began,He studies  history,we can make if he interested sciences numbers just in space,Life in talksing to  converstions are,You can take your seat and do what you normally do.
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,820,is there any person in world who looks exactly like me,is a procedure to take a page of test provided at the quarters and read the page across the division,this can only waywitted be heaving the correct password for it,unsupported audio type or ivalid file path,one should exercise extreme caution when travelling to unexplored areas,clean the thing in litters way to go in,history suggest that thoin gin shi hatuin khurindin history,with the mic saying sin 6 numbers and space,like a topic of conversation are sports politics and movies,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,236,Is there any person in the world who looks exactly like me,His approach was to take a page of text divide it into quadrants and then rip the page across the divisions,This can only be edited by hitting the correct password for it,The asked his army to look out throughout the night,One should exercise extreme caution while traveling to unexplored areas,Anything that glitters may be gold,History suggests that everything will happen again including history,With abstract scientists number and space,My favorite topics of conversation are sports politics and movies,You can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,924,is there any person in the world that looks exactly like me,His approach was to take a page of text divide it into quadrants and then read the page across the divisions,This can only repeated keeping decorated pass for it,Though king asked his are have you do look absolute you will be alright,One should exercise extreme caution when traveling to unexplored areas,you even think that you can litter maybe good,History suggests that everything will happen again including history,With make increase in electrics sciences number inconspicuous and space,"Wife and I talking through conversation, arts, sports, politics, and things",You can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,389,Is there any person in the world that looks exactly like me?,"His approach was to take a page of text, divide it into quadrants, and then read the page across the divisions.",who knows,what,one should exercise extreme caution when traveling to unexplored areas,not english,history suggests that to understand you have to include history,blah blah blah,what,you can type a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,386,is there any person in the world who looks exactly like me,His approach was to take a page of text divide it into quadrants and then read the page across the divisions,this can only be revealed by having the correct password for it,the king asked and looked out throughout the night,one should exercise extreme caution when traveling to unexplored areas,anything that glitters may be gold,history suggests that ....history,an abstract science is number and space,"Likely the topics of conversation are sports, politics and movies.",You can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,553,Is there any person in the world who looks exactly like me?,"His approach was to take a page of text, divide it into quadrants, and then read the page across the divisions.",This can only [advise?] the correct password for it.,The king asked his heir if he would look out throughout the night.,One should exercise extreme caution when traveling to unexplored areas.,Everything that glitters may be gold.,History suggests that everything ... [unintelligible],[unintelligible],"[unintelligible]... are sports, politics, and [unintelligible]",You can take a seat and do what you normally do.
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,1145,IS THERE ANY PERSON IN THE WORLD WHO LOOKS EXACTLY LIKE ME,HIS APPROACH WAS TO TAKE A PAGE OF TEXT DIVIDE THEM INTO QUADRANTS AND THEN READ THE PAGE ACROSS THE DIVISIONS,THIS CAN ONLY VERIFIED BY HEADING THE CORRECT PASSWORD FOR IT,THE KING ASKED HIS ARMY TO LOOK OUT THROUGHOUT THE NIGHT,ONE SHOULD EXERCISE EXTREME CAUTION WHEN TRAVELING TO UNEXPLORED AREAS,ANYTHING THAT GLITTERS MAY BE GOLD,HISTORY SUGGESTS THAT EVERY SINGLE THING WE DO WILL HAPPEN AGAIN INCLUDING HISTORY,WITH A ??  FIND THIS NUMBER ?? AND SPACE,MY FAVORITE TOPICS OF CONVERSATION ARE SPORTS POLITICS AND POLICE,YOU CAN TAKE A SEAT AND DO WHAT YOU NORMALLY DO
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,677,Is there any person in the world who looks exactly like me,His approach was to take a page of text divide it into quadrants and then read the page across the divisions,this can only be  operated by reapeating the correct password for it,The king asked his heir and he told him look out your denined,One should exercise extreme caution when traveling to unexplored areas,anything that glitters may be gold,history suggests that everything will happen again including history,with a mighty fist an astronaut signs his number Columbia end space,why am i talking so artificial arts sports politics and movies,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,1047,Is there any person in the world who looks exactly like me,His approach was to take a page of text divide it into quadrants and then read the page  across the divisions,This can only way wheat advise in way correct password for it,The king asked his are and he told looked out through out to the night,One should exercise extreme caution when travelling to unexplored area.,Anything that look glitters may be gold,His study suggests that the evolution will happen again including history,abstract science's number in space,Might be that we're talking some politician art sport politics and movies,You can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,405,Is there any person in the world who looks exactly like me,His approach was to take a page of text and divide it into quadrants and then read the page across the divisions,This can only verify why he decorate password for it,The king asked his aunt if he could go out for the night,One should exercise extreme caution when traveling to unexplored areas,He think that the litters may be gone,History suggests that to every regime we have to include it in history,with the map it files his number i want to hear in space,my favorite topics of conversation are politics sports and movies,you can take a seat and do what you normally do.
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,3562,is there any person in the world who looks exactly like me,his approach is to take a page of text and divide into the quadrants and then repaged acrossed the divisions,"this gun only deadly leave it heaving correct, password what  for eat",bill king asked his aunt to look out through the night,one should exercises extreme precaution when travels unexplored areas,lean ... took a little may be gold,history such this to ablely singlely ... history,"with some systematic matrix, scienists number temperatures in space","99 topics of conversation are students, politics, and new release",you can tyke see n do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,695,is there any person in the world who looks exactly like me,his approach was to take a page of text divide it into quadrants and then read the page across the divisions,this can only be repeated by having the correct password for it,the king asked his arapetooloo out throughout middle night,one should exercise extreme caution when traveling to unexplored areas,anything that you can liquors may be garland,history suggests that,with mighty peace and math stick science is now there upon desk and space,life in there talking to politician arts sports politics and movies,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,556,is there any person in the world who looks exactly like me,his approach was to take a page of text divide it into quadrants and then read the page across the divisions,this can only be completed by leaving the correct password for it,the king asked his army to look out throughout the night,one should exercise extreme caution when traveling to unexplored areas,anything that glitters may be gold,history suggests that everything will happen again including history,with the mighty beast anesthetized find this number end space,my favorite topics of conversation are sports politics and movies,you can take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,20,Is there any person in the world who looks exactly like me?,,,,,,,,,
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,289,Is there any person in the world who looks exactly like me,His approach was to take a page of text divide it into quadrants are then read the page of text across the divisions,this can be deleted by having the correct password for it,the king asked his heir to lookout through the night,one should exercise extreme caution when traveling to unexplored areas,anything that can be litters may be good,history suggests that everything will happen again including history,we can find this number in space,my favorite topics of conversation are sports politics and movies,you take a seat and do what you normally do
Transcribe audio to text (BONUS available),Transcribe 10 short audio clips (3 to 6 seconds each) to text,"BONUS, transcribe, audio, short",$0.05,7200,381,Is there any person in the world who looks exactly like me?,"his approach was to take a page of text, divide it into quarters and then read the page across divisions",this xx xx,the king asked his xx xx xx xx xx,one should exercise extreme caution when traveling to unexplored areas,xx xx xx xx may begun,history suggests xx xx xx xx history,xx xx xx xx number xx xx in space,xx xx xx xx xx,you can take a seat and do what you normally do
