Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00text,Answer.01text,Answer.02text,Answer.03text,Answer.04text,Answer.05text,Answer.06text,Answer.07text,Answer.08text,Answer.09text,Answer.10text
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,399,Unrestricted Jublic,Exhibition thoughtout the,country suitable for all age,groups  Films under the,category should not affect,children for ever  Such film,may contain educational,or family oriented themes,Films under this category may,also contain fantasy evidence,and a mild nad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,132,Unrestricted Public,Exhibition throughout the,country suitable for all age,groups.  Films under this,category should not upset,children over four.  Such films,may contain educational,or family-oriented themes.,Films under this category may,also contain fantasy violence,and/or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,634,Unristricted Public,Exihibition throughout the,country suitable for all age,group films under the,category sould not upset,children over four such films,may contain eductional social,or family-oriented themes,films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,357,unrestricted public,exhibition throughout the,country suitable for all age,groups films under this,category should not upset,children over four such films,may contain educational real,or family-oriented themes,films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,415,Unrestricted Public,Exhibition throughout the,country suitable for all age,groups.  Films under the,category should not upset,children over four.  Such films,may contain educational and,or family-oriented themes,Films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,1226,Unrestricted Public,Exhibition throughout the,country suitable for all age,groups Films under this,category should not upset,children over four Such films,may contain educational content,or family-oriented themes,Films under this category may,also contain fantasy violence,and/or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,2130,Unrestricted Public,Exhibition throughout the,country suitable for all age,groups. Films under this,category should not upset,children over four. Such films,may contain educational scene.,or family-oriented themes.,Films under this category may,also contain fantasy violence,and/or mild bad language.9999+69
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,1249,Unrestricted Public,Exhibition throughout the,country suitable for all age,group Films under this,category should not,children over four such,may contain educatonal,or family oriented theme,Films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,456,unrestricted public,exhibition throughout the,country suitable for all age,group films under the,category should not upon,children ever four. fuch the,may contain educational,a family-oriented themes,films under this category may,also contain fantasy violines,and a mild bad languages
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,303,Unrestricted public,exhibition throughout the,country suitable for all age,groups films under this,category should not upset,children over four such films,may contain educational social,or family oriented themes,films under this category may,also contain fantasy violence,and or mild bad lanugage
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,134,unrestricted public,exhibition throughout the,country suitable for all age,groups.  films under the,category should not upset,children over four. such films,may contain educational,or family-oriented themes.,films under this category may,also contain fantasy violence,and/or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,291,Unrestricted Public,exhibition throughout the,country suitable for all age,groups Films under this,category should not upset,children over four. Such films,may contain educational social,or family-oriented themes.,Films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,189,unrestricted public,exhibition throughout the,country suitable for all age,groups films under this,category should not upset,children over four such films,may contain educational real,or family-oriented themes,films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,311,unrestricted public,exhibition throughout the,country suitable for all age,groups films under the,category should not upset,children over four such films,may contain educational social,or family-oriented themes,films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,462,unrestricted public,exhibition thoughtout the,country vitable for all age,group films under the,category should not upset,children over four such films,may contain education or ever,or family-oriented themes,films under this category may,also contain fantacy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,340,Unrestricted Public,Exhibition throughout the,country suitable for all age,groups Films under this,category should not upset,children over four Such films,may contain educational social,or family oriented themes,films under this category may,also conain,
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,1339,unrestricted public,exhibition through huct the,secrity available for all age,fuufer  filims under the,category should not uprest,children over four inch,may certain educational,or family-oriented tkenica,filims under this category may,alisa contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,914,unrestricted public,eahilition throughout the,country suitable for all age,gressper nes under this,category should not upreti,children are four fuch,may certain educational,ar family-ariented tkenear,filnes under this category may,also certain fantacy violones,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,227,unrestricted public,exhibition throughout the,country suitable for all age,groups films under the,category should not upset,children over four such films,may contain educational cover,or family-oriented themes,films under this category may,also contain fantasy evidence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,139,Unrestricted Jullie,Exhibition throughout the,country uitable for all age,groups Films under the,category should net upset,children ever four such films,may contain educational,or family-oriented themes,Films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,320,Unrestricted Public,Exhibition throughout the,country suitable for all age,groups Films under this,category should not upset,children over four Such films,may conatin educational,or family-oriented themes,Films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,176,unrestricted public,exhibition throughout the,country suitable for all age,groups films under this,category should not upset,children over four such films,may contain educational and,or family-oriented themes,films under this category may,also contain fantasy violence,and or mild bad langauge
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,227,Unrestricted public,exhibition throughout the,country suitable for all age,groups. Films under this,category should not upset,children over four. Such films,may contain educational social,or family oriented themes.,Films under this category may,also contain fantasy violence,and or mild bad languages.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,584,Unrestricted put the,exhibition throughout the,country suitable for all age,groups films under this,category should not upset,children over four such films,may contain educational,or family oriented themes,films under this category may,also contain fantasy victence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,32,Unrestricted Public,Exhibition throughout the,country suitable for all age,groups. Films under the,,,,,,,
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,135,Unrestricted public,exhibition throughout the,country suitable for all age,groups. Films under this,category should not upset,children over four. Such -,may contain educational -,or family oriented themes.,Films under this category may,also contain fantasy violence,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,245,UNRESTRICTED PUBLIC,EXHIBITION THROUGHOUT THE,COUNTRY SUITABLE FOR ALL AGE,GROUPS FILMS UNDER THE,CATEGORY SHOULD NOT BE UPSET,CHILDREN OVER FOUR SUCH FILMS,MAY CONTAIN EDUCATIONAL ISSUES,OR FAMILY ORIENTED THEMES,FILMS UNDER THIS CATEGORY MAY,ALSO CONTAIN FANTASY VIOLENCE,AND OR MILD BAD LANGUAGE
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,131,unrestricted public,exhibition throughout the,country suitable for all age,groups films under this,category should not upset,children over four such,may contain educational,a family-oriented theme,films under this category may,,
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,47,Unrestricted Public,Exhibition throughout the,,,,,,,,,
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,144,Unrestricted Public,Exhibition throughout the,country suitable for all age,groups. Films under this,,,,or family-oriented themes,Films under this category may,also contain fantasy violence,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,165,Unrestricted Public,Exhibition throughout the,country suitable for all age,groups. Films under this,category should not upset,children over four. Such films,may contain educational and,or family-oriented themes.,Films under this category may,also contain fantasy violence,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,339,Unrestricted Public,Exhibition throughout the,Country suitable for all age,Groups Films under this,Category should not upset,Children over four Such films,May contain educational sexual,Or family-oriented themes,Films under this category may,Also contain fantasy violence,And/or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,635,UNRESTRICTED PUBLIC,EXHIBITION THROUGHOUT THE,COUNTRY SUITABLE FOR ALL AGE,GROUPS.FILMS UNDER THE,CATEGORY SHOULD NOT UPTO,"CHILDREN OVER FOUR,SUCH FILMS",MAY CONTAIN EDUCATIONAL OCCURL,OR FAMILY -ORIENTAL THEMES.,"FILMS UNDER THIS CATEGORY MAY,",ALSO CONTAIN FANTASY VIOLENCE,AND OR MILD BAD LANGUAGE.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,556,Unrestricted Public,Exhibition throughout the,country suitable for all age,groups. Films under this,category should not upset,children over four. Such films,may contain educational real,or family oriented themes.,Films Under this category may,also contain fantasy violence,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,261,unrestricted public,EXHIBITION THROUGHOUT THE,country suitable for all age,groups. Films under the,children ever four. Such film,may contain educational fun!,a family-oriented theme.,Films under this category may,also contain fatasy violence,and or mild bad language.,
