Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.01,Answer.02,Answer.03,Answer.04,Answer.05,Answer.06,Answer.07,Answer.08,Answer.09,Answer.10,Answer.11,Answer.12,Answer.13,Answer.14,Answer.15,Answer.16,Answer.17,Answer.18,Answer.19,Answer.20
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,79,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,288,00:A,01:B,02:B,03:B,04:A,05:B,06:A,07:B,08:A,09:B,10:A,11:B,12:A,13:B,14:B,15:A,16:A,17:A,18:A,19:A,20:A
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,217,00:A,01:A,02:B,03:B,04:A,05:A,06:A,07:B,08:A,09:B,10:A,11:A,12:A,13:A,14:A,15:A,16:B,17:A,18:A,19:A,20:A
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,146,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:B,12:A,13:B,14:B,15:B,16:A,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,57,00:A,01:B,02:B,03:B,04:B,05:A,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:A,14:A,15:A,16:B,17:A,18:A,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,192,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,109,00:A,,02:B,03:B,04:B,05:A,06:A,07:B,08:B,09:B,10:A,11:A,12:A,13:B,14:A,15:A,16:B,17:A,18:A,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,51,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:A,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:B,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,258,00:A,,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:B,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,66,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:A,11:A,12:A,13:B,14:B,15:B,16:A,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,150,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:A,09:B,10:B,11:A,12:B,13:B,14:B,15:B,16:A,17:A,18:A,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,318,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,91,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:A,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,95,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,147,00:A,01:A,02:B,03:B,04:A,05:A,06:A,07:B,08:B,09:B,10:A,11:A,12:A,13:A,14:A,15:A,16:B,17:A,18:A,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,163,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,107,00:A,01:A,02:A,03:A,04:A,05:B,06:A,07:B,08:B,09:B,10:A,11:A,12:B,13:B,14:B,15:B,16:A,17:B,18:A,19:B,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,122,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:B,20:A
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,189,00:A,01:B,02:B,03:B,04:B,05:A,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,218,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,239,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:A,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,96,00:A,01:B,02:B,03:B,04:A,05:A,06:A,07:B,08:B,09:A,10:A,11:A,12:A,13:A,14:A,15:B,16:B,17:A,18:A,19:B,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,292,00:A,01:B,02:B,03:B,04:B,05:A,06:A,07:B,08:B,09:B,10:A,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,200,00:A,01:B,02:B,03:B,04:B,05:A,06:A,07:B,08:B,09:B,10:A,11:A,12:A,13:A,14:B,15:B,16:B,17:A,18:A,19:B,20:A
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,67,00:A,01:B,02:B,03:B,04:B,05:A,06:A,07:B,08:B,09:B,10:A,11:A,12:A,13:A,14:A,15:A,16:B,17:A,18:A,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,180,00:A,01:B,02:B,03:B,04:A,05:B,06:A,07:B,08:A,09:A,10:A,11:B,12:A,13:B,14:B,15:A,16:A,17:A,18:A,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,154,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:A,11:A,12:A,13:A,14:A,15:B,16:A,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,249,00:B,01:B,02:B,03:B,04:B,05:B,06:B,07:A,08:B,09:B,10:B,11:B,12:B,13:B,14:B,15:B,16:B,17:B,18:B,19:B,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,121,00:A,01:B,02:B,03:B,04:B,05:A,06:A,07:B,08:B,09:B,10:A,11:A,12:A,13:B,14:A,15:A,16:B,17:A,18:A,19:A,20:A
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,290,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:A,09:B,10:B,11:A,12:B,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,108,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,230,00:A,01:B,02:B,03:B,04:B,05:A,06:A,07:B,08:A,09:B,10:A,11:A,12:A,13:A,14:A,15:B,16:B,17:B,18:A,19:B,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,155,00:A,01:B,02:A,03:A,04:A,05:A,06:B,07:A,08:A,09:B,10:A,11:B,12:B,,14:B,15:B,16:B,17:A,18:B,19:B,20:A
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,167,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,1541,00:A,01:B,,03:B,04:A,05:A,06:A,07:B,08:A,09:A,10:A,11:A,12:A,13:A,14:A,15:A,16:A,17:A,18:A,19:B,20:A
